PilotID,RouteID,RouteName,FlightID,flightN,longitude,latitude,dest_order_id,AirportCode,flightweight
"4","5923","3B3-KFIT","5923","5923.100000","-71.758065","42.553512","2","KFIT","1",
"4","5923","3B3-KFIT","5925","5925.100000","-71.792861","42.425917","1","3B3","0",
"4","5923","3B3-KFIT","5925","5925.100000","-71.758020","42.553447","2","KFIT","1",
"4","5991","3B3-KFIT","5991","5991.100000","-71.792861","42.425917","1","3B3","0",
"4","5991","3B3-KFIT","5991","5991.100000","-71.758010","42.553850","2","KFIT","1",
"4","6016","Unkn","6020","6020.100000","-71.792861","42.425917","1","3B3","0",
"4","6016","Unkn","6020","6020.100000","-71.449736","42.477464","2","Unkn Dest","1",
"4","6042","3B3-KBAF","6039","6039.100000","-71.792861","42.425917","1","3B3","0",
"4","6042","3B3-KBAF","6039","6039.100000","-72.714318","42.165430","2","KBAF","1",
"4","6063","3B3-KFIT","6063","6063.100000","-71.792861","42.425917","1","3B3","0",
"4","6063","3B3-KFIT","6063","6063.100000","-71.759323","42.554248","2","KFIT","1",
"4","6064","KFIT","6064","6064.100000","-71.792861","42.425917","1","3B3","0",
"4","6064","KFIT","6064","6064.100000","-71.759715","42.554338","2","KFIT","1",
"4","6077","0B8-3B3","6077","6077.100000","-71.792861","42.425917","1","3B3","0",
"4","6077","0B8-3B3","6077","6077.100000","-72.031915","41.252181","2","0B8","1",
"4","6082","3B3-Unkn","6082","6082.100000","-71.792861","42.425917","1","3B3","0",
"4","6082","3B3-Unkn","6082","6082.100000","-71.897510","41.138850","2","Unkn Dest","1",
"4","6086","3B3-KMTP-Unkn","6086","6086.100000","-71.792861","42.425917","1","3B3","0",
"4","6086","3B3-KMTP-Unkn","6086","6086.100000","-71.823547","42.056215","2","Unkn Dest","1",
"4","6086","3B3-KMTP-Unkn","6087","6087.100000","-71.792861","42.425917","1","3B3","0",
"4","6086","3B3-KMTP-Unkn","6087","6087.100000","-71.891385","42.373435","2","Unkn Dest","1",
"4","6098","3B3-KAQW","6098","6098.100000","-71.792861","42.425917","1","3B3","0",
"4","6098","3B3-KAQW","6098","6098.100000","-73.166634","42.695952","2","KAQW","1",
"4","6115","3B3-Unkn","6115","6115.100000","-71.792861","42.425917","1","3B3","0",
"4","6115","3B3-Unkn","6115","6115.100000","-71.934273","42.485159","2","Unkn Dest","1",
"4","6143","3B3-Unkn","6143","6143.100000","-71.792861","42.425917","1","3B3","0",
"4","6143","3B3-Unkn","6143","6143.100000","-71.786252","42.410204","2","Unkn Dest","1",
"4","6174","3B3-Unkn","6174","6174.100000","-71.792861","42.425917","1","3B3","0",
"4","6174","3B3-Unkn","6174","6174.100000","-71.811202","42.447214","2","Unkn Dest","1",
"4","6174","3B3-Unkn","6175","6175.100000","-71.792861","42.425917","1","3B3","0",
"4","6174","3B3-Unkn","6175","6175.100000","-71.700370","42.394000","2","Unkn Dest","1",
"4","6174","3B3-Unkn","6176","6176.100000","-71.792861","42.425917","1","3B3","0",
"4","6174","3B3-Unkn","6176","6176.100000","-71.721095","42.413757","2","Unkn Dest","1",
"4","6174","3B3-Unkn","6177","6177.100000","-71.792861","42.425917","1","3B3","0",
"4","6174","3B3-Unkn","6177","6177.100000","-71.777286","42.444405","2","Unkn Dest","1",
"4","6174","3B3-Unkn","6178","6178.100000","-71.792861","42.425917","1","3B3","0",
"4","6174","3B3-Unkn","6178","6178.100000","-71.800651","42.433046","2","Unkn Dest","1",
"4","6292","3B3-KFIT","6292","6292.100000","-71.792861","42.425917","1","3B3","0",
"4","6292","3B3-KFIT","6292","6292.100000","-71.757387","42.553174","2","KFIT","1",
"4","6318","0B7-KFIT-Unkn","6318","6318.100000","-71.792861","42.425917","1","3B3","0",
"4","6318","0B7-KFIT-Unkn","6318","6318.100000","-72.567589","43.692850","2","Unkn Dest","1",
"4","6318","0B7-KFIT-Unkn","6319","6319.100000","-71.792861","42.425917","1","3B3","0",
"4","6318","0B7-KFIT-Unkn","6319","6319.100000","-72.827133","44.116988","2","0B7","1",
"4","6325","0B7-KFIT","6325","6325.100000","-71.792861","42.425917","1","3B3","0",
"4","6325","0B7-KFIT","6325","6325.100000","-71.757078","42.552824","2","KFIT","1",
"4","6363","3B0-3B3","6363","6363.100000","-71.792861","42.425917","1","3B3","0",
"4","6363","3B0-3B3","6363","6363.100000","-72.038677","42.100699","2","3B0","1",
"4","6399","3B3-KHIE-Unkn","6399","6399.100000","-71.792861","42.425917","1","3B3","0",
"4","6399","3B3-KHIE-Unkn","6399","6399.100000","-71.560459","44.382659","2","Unkn Dest","1",
"4","6399","3B3-KHIE-Unkn","6400","6400.100000","-71.792861","42.425917","1","3B3","0",
"4","6399","3B3-KHIE-Unkn","6400","6400.100000","-71.548202","44.367352","2","KHIE","1",
